#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	TSC2	9606.ENSP00000386456	9606.ENSP00000219476	0	0	0	0	0.062	0.145	0	0.122	0.234
AAK1	GSE1	9606.ENSP00000386456	9606.ENSP00000253458	0	0	0	0	0	0	0	0.189	0.189
AAK1	PRKAB2	9606.ENSP00000386456	9606.ENSP00000254101	0	0	0	0	0	0.056	0	0.140	0.153
AAK1	NGEF	9606.ENSP00000386456	9606.ENSP00000264051	0	0	0	0	0.083	0.104	0	0.127	0.220
AAK1	PRKAR2A	9606.ENSP00000386456	9606.ENSP00000265563	0	0	0	0	0.186	0	0	0.166	0.292
AAK1	NCOR1	9606.ENSP00000386456	9606.ENSP00000268712	0	0	0	0	0.096	0.154	0	0.043	0.204
AAK1	EGFR	9606.ENSP00000386456	9606.ENSP00000275493	0	0	0	0	0	0	0	0.156	0.156
AAK1	CAMK4	9606.ENSP00000386456	9606.ENSP00000282356	0	0	0	0.557	0.108	0.077	0	0.075	0.155
AAK1	CFL2	9606.ENSP00000386456	9606.ENSP00000298159	0	0	0	0	0.083	0	0	0.210	0.245
AAK1	HSPA4	9606.ENSP00000386456	9606.ENSP00000302961	0	0	0	0	0.052	0.064	0	0.138	0.168
AAK1	DAB2	9606.ENSP00000386456	9606.ENSP00000313391	0	0	0	0	0	0	0	0.286	0.286
AAK1	TLN1	9606.ENSP00000386456	9606.ENSP00000316029	0	0	0	0	0	0	0	0.162	0.162
AAK1	PLEC	9606.ENSP00000386456	9606.ENSP00000323856	0	0	0	0	0.062	0.153	0	0.095	0.219
AAK1	PCLO	9606.ENSP00000386456	9606.ENSP00000334319	0	0	0	0	0.145	0	0	0.050	0.153
AAK1	TTC7B	9606.ENSP00000386456	9606.ENSP00000336127	0	0	0	0	0.077	0	0	0.117	0.150
AAK1	CAMK2D	9606.ENSP00000386456	9606.ENSP00000339740	0	0	0	0	0.062	0	0	0.169	0.187
AAK1	MAPT	9606.ENSP00000386456	9606.ENSP00000340820	0	0	0	0	0.102	0.182	0	0	0.234
AAK1	WNK1	9606.ENSP00000386456	9606.ENSP00000341292	0	0	0	0.542	0.079	0.177	0	0.060	0.217
AAK1	CHD1L	9606.ENSP00000386456	9606.ENSP00000358262	0	0	0	0	0.066	0.075	0	0.110	0.164
AAK1	ESPN	9606.ENSP00000386456	9606.ENSP00000367059	0	0	0	0	0.106	0.076	0	0.251	0.327
AAK1	YWHAZ	9606.ENSP00000386456	9606.ENSP00000379287	0	0	0	0	0.062	0.158	0	0.063	0.195
AAK1	SH3KBP1	9606.ENSP00000386456	9606.ENSP00000380921	0	0	0	0	0.167	0	0	0.072	0.194
AAK1	ANKRD28	9606.ENSP00000386456	9606.ENSP00000382379	0	0	0	0	0.106	0.151	0	0.085	0.244
AAK1	FBLN2	9606.ENSP00000386456	9606.ENSP00000384169	0	0	0	0	0	0.061	0	0.271	0.286
AAK1	CDKN2A	9606.ENSP00000386456	9606.ENSP00000418915	0	0	0	0	0.106	0.076	0	0.078	0.172
AAK1	ALMS1	9606.ENSP00000386456	9606.ENSP00000482968	0	0	0	0	0	0.222	0	0	0.222
AAK1	CPNE3	9606.ENSP00000386456	9606.ENSP00000477590	0	0	0	0	0.062	0	0	0.206	0.223
AAK1	POLE4	9606.ENSP00000386456	9606.ENSP00000420176	0	0	0	0	0.138	0	0	0.142	0.228
AAK1	CDK12	9606.ENSP00000386456	9606.ENSP00000398880	0	0	0	0.546	0.103	0.104	0	0.221	0.233
AAK1	CFL1	9606.ENSP00000386456	9606.ENSP00000432660	0	0	0	0	0.083	0	0	0.206	0.240
AAK1	GIGYF2	9606.ENSP00000386456	9606.ENSP00000387170	0	0	0	0	0.108	0	0	0.226	0.280
AAK1	NUMB	9606.ENSP00000386456	9606.ENSP00000451300	0	0	0	0	0.091	0.643	0	0.558	0.844
ABCC3	CFTR	9606.ENSP00000285238	9606.ENSP00000003084	0	0	0	0.711	0	0	0	0.546	0.187
ABCC3	KEAP1	9606.ENSP00000285238	9606.ENSP00000171111	0	0	0	0	0.051	0	0	0.270	0.277
ABCC3	GAPDH	9606.ENSP00000285238	9606.ENSP00000229239	0	0	0	0	0.049	0	0	0.325	0.331
ABCC3	PRKAB2	9606.ENSP00000285238	9606.ENSP00000254101	0	0	0	0	0.048	0.127	0	0.068	0.157
ABCC3	GYS2	9606.ENSP00000285238	9606.ENSP00000261195	0.046	0	0	0	0.064	0.069	0	0.178	0.225
ABCC3	EPCAM	9606.ENSP00000285238	9606.ENSP00000263735	0	0	0	0	0	0	0	0.168	0.168
ABCC3	TP53	9606.ENSP00000285238	9606.ENSP00000269305	0	0	0	0	0	0	0	0.269	0.269
ABCC3	EGFR	9606.ENSP00000285238	9606.ENSP00000275493	0	0	0	0	0	0	0	0.312	0.312
ABCC3	CDKN1A	9606.ENSP00000285238	9606.ENSP00000384849	0	0	0	0	0	0	0	0.152	0.152
ABCC3	TERT	9606.ENSP00000285238	9606.ENSP00000309572	0	0	0	0	0.062	0	0	0.135	0.154
ABCC3	FRAS1	9606.ENSP00000285238	9606.ENSP00000326330	0.045	0	0	0	0.054	0.135	0	0.048	0.156
ABCC3	MYC	9606.ENSP00000285238	9606.ENSP00000479618	0	0	0	0	0	0	0	0.179	0.179
ABCC3	S100A9	9606.ENSP00000285238	9606.ENSP00000357727	0	0	0	0	0	0	0	0.181	0.181
ABCC3	KRT19	9606.ENSP00000285238	9606.ENSP00000355124	0	0	0	0	0.065	0	0	0.167	0.187
ABCC3	PROM1	9606.ENSP00000285238	9606.ENSP00000426809	0	0	0	0	0	0	0	0.194	0.194
ABCC3	ACOX2	9606.ENSP00000285238	9606.ENSP00000307697	0	0	0	0	0.063	0	0	0.180	0.199
ABCC3	CTNNB1	9606.ENSP00000285238	9606.ENSP00000344456	0	0	0	0	0.053	0.056	0	0.186	0.209
ABCC3	XPO1	9606.ENSP00000285238	9606.ENSP00000384863	0	0	0	0	0.108	0.076	0	0.141	0.231
ABCC3	MDN1	9606.ENSP00000285238	9606.ENSP00000358400	0	0	0	0	0.082	0	0	0.235	0.268
ABCC3	GPT	9606.ENSP00000285238	9606.ENSP00000378408	0	0	0	0	0	0	0	0.328	0.328
ABCC3	CYP2E1	9606.ENSP00000285238	9606.ENSP00000440689	0	0	0	0	0.062	0	0	0.327	0.342
ABCC3	ALDH1A1	9606.ENSP00000285238	9606.ENSP00000297785	0	0	0	0	0.102	0	0	0.332	0.374
ABCC3	UGT2B4	9606.ENSP00000285238	9606.ENSP00000305221	0	0	0	0	0.066	0	0	0.383	0.399
ABCC3	FGF19	9606.ENSP00000285238	9606.ENSP00000294312	0	0	0	0	0	0	0	0.537	0.537
ABCC3	UGT1A8	9606.ENSP00000285238	9606.ENSP00000304845	0	0	0	0	0.084	0	0	0.591	0.610
ABCC3	ALB	9606.ENSP00000285238	9606.ENSP00000295897	0	0	0	0	0.065	0	0.900	0.265	0.925
ACACB	OTC	9606.ENSP00000341044	9606.ENSP00000039007	0	0	0	0	0.085	0	0	0.226	0.261
ACACB	XBP1	9606.ENSP00000341044	9606.ENSP00000216037	0	0	0	0	0	0	0	0.224	0.224
ACACB	GAPDH	9606.ENSP00000341044	9606.ENSP00000229239	0	0	0	0	0.062	0.057	0	0.356	0.381
ACACB	APOB	9606.ENSP00000341044	9606.ENSP00000233242	0	0	0	0	0.063	0	0	0.333	0.348
ACACB	ATXN1	9606.ENSP00000341044	9606.ENSP00000244769	0	0	0	0	0	0.182	0	0	0.181
ACACB	PRKAB2	9606.ENSP00000341044	9606.ENSP00000254101	0	0	0	0	0.062	0	0.800	0.223	0.841
ACACB	CCNB1	9606.ENSP00000341044	9606.ENSP00000256442	0	0	0	0	0	0.078	0	0.137	0.170
